A Noite Sempre Chega,2025,5.9/10,"Risking everything to secure a future for herself and her brother, Lynette sets out on a dangerous odyssey, confronting her own dark past over the course of one propulsive night."
Corra que a Polícia Vem Aí!,2025,7.0/10,Only one man has the particular set of skills - to lead Police Squad and save the world.
Quarteto Fantástico: Primeiros Passos,2025,7.3/10,"Forced to balance their roles as heroes with the strength of their family bond, the Fantastic Four must defend Earth from a ravenous space god called Galactus and his enigmatic herald, the S... Read all"
Guerreiras do K-Pop,2025,7.7/10,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
Anônimo 2,2025,6.7/10,"Suburban dad Hutch Mansell, a former lethal assassin, is pulled back into his violent past after thwarting a home invasion, setting off a chain of events that unravels secrets about his wife... Read all"
Jurassic World: Recomeço,2025,6.0/10,"Five years post-Jurassic World: Domínio (2022), an expedition braves isolated equatorial regions to extract DNA from three massive prehistoric creatures for a groundbreaking medical breakthr... Read all"
Um Maluco no Golfe 2,2025,6.1/10,Revisit Happy Gilmore's golf career after his win in the Tour Championship.
Juntos,2025,6.9/10,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to co... Read all"
A Hora do Mal,2025,7.8/10,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Superman,2025,7.3/10,"Superman must reconcile his alien Kryptonian heritage with his human upbringing as reporter Clark Kent. As the embodiment of truth, justice and the human way he soon finds himself in a world... Read all"
Uma Sexta-Feira Mais Louca Ainda,2025,7.0/10,"22 years after Tess and Anna endured an identity crisis, Anna now has a daughter and a soon-to-be stepdaughter. As they navigate the challenges that come when two families merge, Tess and An... Read all"
Eddington,2025,6.8/10,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico."
Guerra dos Mundos,2025,2.5/10,"A colossal invasion of Earth is coming in this off-kilter take on the legendary novel of the same name, filled with present-day themes of technology, government surveillance, and privacy."
Extermínio: A Evolução,2025,6.7/10,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mu... Read all"
Nobody,2021,7.4/10,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss."
Faça Ela Voltar,2025,7.2/10,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.
Pecadores,2025,7.6/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Mahavatar Narsimha,2024,9.2/10,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.
Amores Materialistas,2025,6.4/10,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex."
A Última Missão,2025,5.4/10,A routine cash pickup turns into a deadly pursuit when two mismatched armored truck drivers are ambushed by ruthless criminals with plans beyond the cash.
F1: O Filme,2025,7.9/10,A Formula One driver comes out of retirement to mentor and team up with a younger driver.
Guerra 2,2025,6.0/10,"Things get complicated when Kabir Dhaliwal, a secret agent, is accused of betraying his nation and his former batchmate Vikram is assigned the task of finding him."
Meu Ano em Oxford,2025,5.9/10,"When Anna, an ambitious young American woman, sets out for Oxford University to fulfill a childhood dream, she has her life completely on track until she meets a charming and clever local wh... Read all"
Luta de Classes,2025,6.8/10,"When a titan music mogul is targeted with a ransom plot, he is jammed up in a life-or-death moral dilemma."
Tehran,2025,6.9/10,"After a 2012 Delhi bombing, officer RK's Tehran mission turns deadly when Iran targets him and India abandons him in his quest to expose the truth."
